Login,Σύνδεση
Logout,Αποσύνδεση
Email,Ηλεκτρονικό Ταχυδρομείο
Password,Κωδικός Πρόσβασης
Forgot your password?,Ξεχάσατε τον κωδικό σας;
Create an account,Δημιουργία λογαριασμού
Register,Εγγραφή
Full Name,Πλήρες Όνομα
Full name,Πλήρες όνομα
SIGN IN,ΕΙΣΟΔΟΣ
Order History,Ιστορικό Παραγγελιών
Account Details,Λεπτομέρειες Λογαριασμού
You have not placed any orders yet,Δεν έχετε κάνει καμία παραγγελία ακόμα
My Account,Ο Λογαριασμός μου
Already have an account?,Έχετε ήδη λογαριασμό;
Contact information,Στοιχεία επικοινωνίας
City,Πόλη
Account Information,Πληροφορίες Λογαριασμού
Address,Διεύθυνση
Postcode,Ταχυδρομικός Κώδικας
Postcode is required,Απαιτείται Ταχυδρομικός Κώδικας
Telephone is required,Απαιτείται Τηλέφωνο
Telephone,Τηλέφωνο
Full name is required,Απαιτείται πλήρες όνομα
Country is required,Απαιτείται χώρα
Country,Χώρα
Province is required,Απαιτείται Επαρχία
Province,Επαρχία
Billing Address,Διεύθυνση Τιμολόγησης
Shipping Address,Διεύθυνση Αποστολής
Create A New Account,Δημιουργία Νέου Λογαριασμού
Contact,Επικοινωνία
Customer information,Πληροφορίες Πελάτη
