Total, Totale
Order, Ordine
Sku, SKU
Continue to shipping, Prosegui con la spedizione
Continue shopping, Continua gli acquisti
Continue Shopping, Continua gli acquisti
CONTINUE SHOPPING, CONTINUA GLI ACQUISTI
Shopping cart, Carrello
Product, Prodotto
Price, Prezzo
Quantity, Quantità
Remove, Rimuovi
Qty, Qta
Sub total, Subtotale
Discount(${coupon}), Sconto (${coupon})
Order summary, Riepilogo ordine
Taxes and shipping calculated at checkout, Tasse e spedizione saranno calcolate al momento del pagamento
CHECKOUT, PAGAMENTO
Change, Cambia
Payment Method, Metodo di pagamento
Shipping Method, Metodo di spedizione
No payment methods available, Nessun metodo di pagamento disponibile
Place Order, Effettua ordine
My billing address is the same as the shipping address, L'indirizzo di fatturazione è lo stesso dell'indirizzo di spedizione
${count} items, ${count} articoli
Discount, Sconto
Shipping, Spedizione
No tax, Nessuna tassa
Tax, Tassa
Sorry, Spiacente
Please enter a shipping address in order to see shipping quotes, Inserisci un indirizzo di spedizione per visualizzare i costi di spedizione
Continue to payment, Prosegui con il pagamento
No payment method available, Nessun metodo di pagamento disponibile
Ship to, Spedisci a
Shipment, Spedizione
Thank you ${name}!, Grazie ${name}!
Contact information, Informazioni di contatto
Order #${orderNumber}, Ordine n. ${orderNumber}
ADD TO CART, AGGIUNGI AL CARRELLO
Please select variant options, Seleziona una delle opzioni
VIEW CART (${count}), VEDI CARRELLO (${count})
JUST ADDED TO YOUR CART, AGGIUNTO AL CARRELLO
Promotion code?, Hai un codice promo?
Enter coupon code, Inserisci il codice coupon
Apply, Applica
Your cart is empty!, Il tuo carrello è vuoto!
Inclusive of tax ${taxAmount}, Incluso ${taxAmount} di tasse.
